directory,template,vsfiles,is_same,ASGard_completeness,generalization_completeness,ASGard_abstraction,generalization_abstraction,ASGard_variable_ratio,generalization_variable_ratio
java.util.Date, Template2, Date 12 vs 6, False, 0.2389240506329114, 0.26497005988023953,0.85, 0.6190476190476191,0.6304945054945055, 0.48214285714285715
java.util.HashMap, Template10, HashMap 71 vs 69, True, 0.7817589576547231, 0.993485342019544,0.0, 0.0,0.0, 0.0
java.util.HashMap, Template11, HashMap 25 vs 50, True, 0.8278965129358831, 0.9977502812148481,0.0, 0.0,0.0, 0.0
java.util.HashMap, Template12, HashMap 5 vs 1, False, 0.28662981594722414, 0.3120349730397325,0.72, 0.5,0.5750507099391481, 0.35141987829614607
java.util.HashMap, Template13, HashMap 29 vs 22, False, 0.7403564277744662, 0.8835274542429284,0.08888888888888889, 0.08333333333333333,0.08333333333333333, 0.08333333333333333
java.util.HashMap, Template14, HashMap 34 vs 36, False, 0.803488880787459, 0.9507692307692308,0.07272727272727272, 0.015873015873015872,0.06350806451612903, 0.015877016129032258
java.util.HashMap, Template15, HashMap 40 vs 55, True, 0.8208955223880597, 0.9950248756218906,0.0, 0.0,0.0, 0.0
java.util.HashMap, Template16, HashMap 20 vs 19, False, 0.8004683840749415, 0.9792026703275997,0.02857142857142857, 0.0,0.024390243902439025, 0.0
java.util.HashMap, Template17, HashMap 5 vs 72, False, 0.2553475935828877, 0.28104575163398693,0.72, 0.55,0.6317733990147784, 0.38608374384236455
java.util.HashMap, Template18, HashMap 8 vs 14, False, 0.34371452061230084, 0.34187554019014693,0.47619047619047616, 0.42105263157894735,0.3888888888888889, 0.3111111111111111
java.util.HashMap, Template1, HashMap 65 vs 68, False, 0.727786623959551, 0.869084218647991,0.0975609756097561, 0.061224489795918366,0.07846153846153847, 0.05884615384615385
java.util.HashMap, Template2, HashMap 23 vs 26, False, 0.7652278707941028, 0.9156249999999999,0.05405405405405406, 0.05,0.05, 0.05
java.util.HashMap, Template5, HashMap 21 vs 39, False, 0.7723668816796307, 0.9349904397705545,0.04878048780487805, 0.045454545454545456,0.045454545454545456, 0.045454545454545456
java.util.HashMap, Template6, HashMap 8 vs 9, False, 0.62091304787934, 0.7750354286871142,0.23333333333333334, 0.1111111111111111,0.19444444444444445, 0.1111111111111111
java.util.HashMap, Template7, HashMap 54 vs 24, True, 0.8477801268498943, 0.9978858350951374,0.0, 0.0,0.0, 0.0
java.util.HashMap, Template8, HashMap 67 vs 66, True, 0.8475836431226766, 0.9981412639405205,0.0, 0.0,0.0, 0.0
java.util.HashMap, Template9, HashMap 35 vs 46, False, 0.6963256134683807, 0.8128403317449132,0.13333333333333333, 0.125,0.125, 0.125
java.util.HashSet, Template1, HashSet 6 vs 2, True, 0.7697368421052632, 0.9990601503759399,0.0, 0.0,0.0, 0.0
java.util.HashSet, Template2, HashSet 19 vs 18, True, 0.4819277108433735, 0.9936305732484076,0.0, 0.0,0.0, 0.0
java.util.HashSet, Template3, HashSet 9 vs 5, True, 0.7576126674786845, 0.9903381642512077,0.0, 0.0,0.0, 0.0
java.util.HashSet, Template4, HashSet 8 vs 4, True, 0.8247422680412371, 0.9974226804123711,0.0, 0.0,0.0, 0.0
java.util.HashSet, Template5, HashSet 32 vs 30, False, 0.6525469252278053, 0.8350983358547655,0.12244897959183673, 0.08823529411764706,0.0902714932126697, 0.0902714932126697
java.util.Iterator, Template1, Iterator 23 vs 18, False, 0.3953068592057762, 0.5,0.4444444444444444, 0.3902439024390244,0.35607160135462024, 0.35607160135462024
java.util.Iterator, Template2, Iterator 25 vs 24, False, 0.792243601986249, 0.9268077601410935,0.046511627906976744, 0.03636363636363636,0.0367003367003367, 0.0367003367003367
java.util.Iterator, Template3, Iterator 6 vs 4, True, 0.5079545454545454, 0.9715909090909091,0.0, 0.0,0.0, 0.0
java.util.Iterator, Template5, Iterator 5 vs 27, False, 0.23519340519974635, 0.20602559119854102,0.7027027027027027, 0.4,0.5513513513513514, 0.21205821205821207
java.util.Iterator, Template6, Iterator 11 vs 8, False, 0.3636553369111509, 0.43084312421488213,0.4782608695652174, 0.391304347826087,0.3919082125603865, 0.32065217391304346
java.util.Iterator, Template7, Iterator 9 vs 8, False, 0.456268221574344, 0.639871382636656,0.34782608695652173, 0.2608695652173913,0.3167701863354037, 0.23757763975155277
java.util.Map, Template10, Map 13 vs 19, True, 0.78, 0.9755700325732899,0.0, 0.0,0.0, 0.0
java.util.Map, Template11, Map 64 vs 57, True, 0.790983606557377, 0.9959016393442623,0.0, 0.0,0.0, 0.0
java.util.Map, Template12, Map 30 vs 23, False, 0.20105014602622256, 0.16495500113921163,0.8387096774193549, 0.6666666666666666,0.6882352941176471, 0.2647058823529412
java.util.Map, Template13, Map 28 vs 27, False, 0.6228670955561711, 0.634819532908705,0.23333333333333334, 0.1111111111111111,0.19444444444444445, 0.1111111111111111
java.util.Map, Template14, Map 33 vs 78, False, 0.25669199784062124, 0.305,0.6, 0.4642857142857143,0.4838709677419355, 0.41935483870967744
java.util.Map, Template16, Map 69 vs 70, False, 0.4719626168224299, 0.6204819277108433,0.35294117647058826, 0.23809523809523808,0.2857142857142857, 0.23809523809523808
java.util.Map, Template17, Map 16 vs 10, True, 0.860036832412523, 0.9990791896869244,0.0, 0.0,0.0, 0.0
java.util.Map, Template18, Map 46 vs 47, False, 0.8053928541544642, 0.9504643962848297,0.07272727272727272, 0.015873015873015872,0.06350806451612903, 0.015877016129032258
java.util.Map, Template19, Map 11 vs 17, True, 0.8401162790697674, 0.998546511627907,0.0, 0.0,0.0, 0.0
java.util.Map, Template1, Map 9 vs 15, True, 0.6813314608398208, 0.9840811244075576,0.0, 0.0,0.0, 0.0
java.util.Map, Template20, Map 79 vs 59, False, 0.19310790467804695, 0.20324166818430156,0.7142857142857143, 0.5882352941176471,0.39230769230769236, 0.39230769230769236
java.util.Map, Template21, Map 76 vs 22, False, 0.2540106951871658, 0.253968253968254,0.72, 0.6,0.6317733990147784, 0.4211822660098522
java.util.Map, Template2, Map 60 vs 59, False, 0.21457126844759944, 0.2973173464135404,0.7647058823529411, 0.5,0.48413793103448277, 0.22344827586206895
java.util.Map, Template3, Map 43 vs 39, False, 0.8009412384196409, 0.984852972634974,0.02857142857142857, 0.0,0.024390243902439025, 0.0
java.util.Map, Template4, Map 21 vs 24, False, 0.6485364567556349, 0.8253428917985881,0.07692307692307693, 0.047619047619047616,0.05823209049015501, 0.043674067867616254
java.util.Map, Template5, Map 25 vs 22, True, 0.7638378536016331, 0.9665500145815107,0.0, 0.0,0.0, 0.0
java.util.Map, Template6, Map 20 vs 14, True, 0.8775100401606426, 0.9979919678714859,0.0, 0.0,0.0, 0.0
